消耗性资产名称,编码,名称,商家/厂家/品牌,批号/编号/标识,规格型号,批次备注,验检入库编号,有效期至,来源,入库总量,入库单位,领用要求,入库备注,房间名称,箱柜屉架,隔板层数,领用出库编号,出库数量,出库单位,出库备注,库存数量,单位,备注说明1,备注说明2
具塞比色管WJ040,J4,玻璃仪器,,,25ml,,,,购置,1,支,常规,,,J-06,4,MYM-210520-QJW-J4-007,1,支,,,支,,
具塞比色管WJ041,J4,玻璃仪器,,,50ml,,,,购置,1,支,常规,,,J-06,4,MYM-210520-QJW-J4-008,1,支,,,支,,
具塞比色管WJ042,J4,玻璃仪器,,,100ml,,,,购置,1,支,常规,,,J-06,4,MYM-210520-QJW-J4-009,1,支,,,支,,
玻璃注射器WJ043,J4,玻璃仪器,,,1ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
白色容量瓶WJ050,J4,玻璃仪器,,,5ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-010,1,只,,,只,,
白色容量瓶WJ051,J4,玻璃仪器,,,25ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-011,1,只,,,只,,
白色容量瓶WJ054,J4,玻璃仪器,,,100ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-012,1,只,,,只,,
白色容量瓶WJ058,J4,玻璃仪器,,,500ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-013,1,只,,,只,,
白色容量瓶WJ060,J4,玻璃仪器,,,1000ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-014,1,只,,,只,,
白色容量瓶WJ062,J4,玻璃仪器,,,2000ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-015,1,只,,,只,,
白色聚乙烯容量瓶WJ079,J4,玻璃仪器,,,100ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-018,1,只,,,只,,
微量进样器WJ067,J4,玻璃仪器,,,1ul,,,,购置,1,支,常规,,,J-06,4,MYM-210520-QJW-J4-004,1,支,,,支,,
微量进样器WJ070,J4,玻璃仪器,,,10ul,,,,购置,1,支,常规,,,J-06,4,MYM-210520-QJW-J4-005,1,支,,,支,,
水银温度计WJ071,J4,玻璃仪器,,,0-300,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ004,J4,玻璃仪器,,,1ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ005,J4,玻璃仪器,,,2ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ078,J4,玻璃仪器,,,3ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ006,J4,玻璃仪器,,,5ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ007,J4,玻璃仪器,,,10ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ008,J4,玻璃仪器,,,15ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ009,J4,玻璃仪器,,,20ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ010,J4,玻璃仪器,,,20ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ011,J4,玻璃仪器,,,50ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
单标移液管WJ012,J4,玻璃仪器,,,100ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
棕色碱式滴定管WJ024,J4,玻璃仪器,,,25ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
棕色碱式滴定管WJ026,J4,玻璃仪器,,,50ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
白色碱式滴定管WJ023,J4,玻璃仪器,,,25ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
白色碱式滴定管WJ025,J4,玻璃仪器,,,50ml,,,,购置,1,支,常规,,,J-06,4,,,支,,1,支,,
白色两用滴定管WJ031,J4,玻璃仪器,,,25ml,,,,购置,1,支,常规,,,J-06,4,MYM-210622-QJW-J4-006,1,支,,,支,,
白色酸式滴定管WJ027,J4,玻璃仪器,,,25ml,,,,购置,1,支,常规,,,J-06,4,MYM-210622-QJW-J4-007,1,支,,,支,,
白色酸式滴定管WJ029,J4,玻璃仪器,,,50ml,,,,购置,1,支,常规,,,J-06,4,MYM-210622-QJW-J4-008,1,支,,,支,,
棕色酸式滴定管WJ028,J4,玻璃仪器,,,25ml,,,,购置,1,支,常规,,,J-06,4,MYM-210622-QJW-J4-009,1,支,,,支,,
量筒WJ017,J4,玻璃仪器,,,500ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-016,1,只,,,只,,
量筒WJ016,J4,玻璃仪器,,,250ml,,,,购置,1,只,常规,,,J-06,4,MYM-210520-QJW-J4-017,1,只,,,只,,
座式微量滴定管,J4,玻璃仪器,南通诚记化工,,2ml,,,,购置,4,个,常规,,,J-05,0,,,个,,4,个,,
座式微量滴定管,J4,玻璃仪器,南通诚记化工,,5ml,,,,购置,4,个,常规,,,J-05,0,,,个,,4,个,,
具塞锥形瓶  ,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,20,个,常规,,,J-05,1,,,个,,20,个,,
具塞锥形瓶  ,J4,玻璃仪器,南通诚记化工,,100ml/19#,,,,购置,10,个,常规,,,J-05,1,,,个,,10,个,,
具塞锥形瓶  ,J4,玻璃仪器,南通诚记化工,,150ml/19#,,,,购置,10,个,常规,,,J-05,1,,,个,,10,个,,
具塞锥形瓶  ,J4,玻璃仪器,广州诺玖顺,,250ml,,,,购置,40,个,常规,,,J-05,1,MYM-210422-QJW-J4-005,10,个,,30,个,,
碘量瓶   ,J4,玻璃仪器,南通诚记化工,,100ml/19#,,,,购置,18,个,常规,,,J-05,1,,,个,,18,个,,
碘量瓶   ,J4,玻璃仪器,南通诚记化工,,150ml/19#,,,,购置,10,个,常规,,,J-05,1,,,个,,10,个,,
碘量瓶   ,J4,玻璃仪器,南通诚记化工,,250ml/24#,,,,购置,4,个,常规,,,J-05,1,,,个,,4,个,,
溶解氧瓶,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,41,个,常规,蜀牛、GG-17,,J-05,2,MYM-211009-LJ-J4-001；MYM-211020-LJ-J4-002,31,个,,10,个,,
三角烧瓶（广口）,J4,玻璃仪器,南通诚记化工,,100ml,,,,购置,18,个,常规,,,J-05,2,,,个,,18,个,,
三角烧瓶（广口）,J4,玻璃仪器,南通诚记化工,,150ml,,,,购置,14,个,常规,,,J-05,2,,,个,,14,个,,
三角烧瓶（广口）,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,2,个,常规,,,J-05,2,,,个,,2,个,,
三角烧瓶（广口）,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,3,个,常规,,,J-05,2,,,个,,3,个,,
三角烧瓶（广口细口）,J4,玻璃仪器,南通诚记化工,,150ml,,,,购置,3,个,常规,,,J-05,2,,,个,,3,个,,
白容量瓶,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,5,个,常规,,,J-05,3,,,个,,5,个,,
白容量瓶,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,2,个,常规,,,J-05,3,,,个,,2,个,,
白容量瓶,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,6,个,常规,,,J-05,3,,,个,,6,个,,
白容量瓶,J4,玻璃仪器,南通诚记化工,,1000ml,,,,购置,6,个,常规,,,J-05,3,,,个,,6,个,,
白色容量瓶,J4,玻璃仪器,南通诚记化工,,2L,,,,购置,8,个,常规,,,J-05,3,,,个,,8,个,,
直型冷凝管,J4,玻璃仪器,南通诚记化工,,300mm,,,,购置,3,支,常规,,,J-05,4,MYM-210416-QJW-J4-004,2,支,,1,支,,
直型冷凝管,J4,玻璃仪器,南通诚记化工,,500mm,,,,购置,2,支,常规,,,J-05,4,,,支,,2,支,,
蛇形冷凝管,J4,玻璃仪器,南通诚记化工,,300mm,,,,购置,1,支,常规,,,J-05,4,MYM-210416-QJW-J4-003,1,支,,,支,,
球形冷凝管,J4,玻璃仪器,南通诚记化工,,500mm,,,,购置,3,支,常规,,,J-05,4,,,支,,3,支,,
碱式滴定管,J4,玻璃仪器,南通诚记化工,,50ml白、棕,,,,购置,16,支,常规,白8棕8,,J-05,4,PXQ-250515-YZH-J4-001,1,支,,15,支,,20250515领用1支白色滴定管
碱式滴定管,J4,玻璃仪器,南通诚记化工,,50ml棕,,WWY-231229-ZHD-J4-001,,购置,1,支,常规,棕1,,J-05,4,,,支,,1,支,,
碱式滴定管,J4,玻璃仪器,南通诚记化工,,25ml白、棕,,,,购置,15,支,常规,白7棕8,,J-05,4,,,支,,15,支,,
酸式滴定管,J4,玻璃仪器,南通诚记化工,,50ml白、棕,,,,购置,10,支,常规,白4棕4,,J-05,4,MYM-211104-LJ-J4-001,2,支,,8,支,,
酸式滴定管,J4,玻璃仪器,南通诚记化工,,25ml白、棕,,WYH-251119-WYH-J6-016,,购置,15,支,常规,白8棕7,,J-05,4,MYM-230524-CJF-J4-007,2,支,,15,支,,原先13支，2025.11.19日返还入库2支
白聚四氟乙烯旋塞滴定管,J4,玻璃仪器,南通诚记化工,,25ml,,,,购置,1,个,常规,,,J-05,4,,,个,,1,个,,
酸碱通用滴定管,J4,玻璃仪器,泰州市众星教学设备有限公司,,10ml,,,,购置,3,个,常规,,,J-05,4,,,个,,3,个,,
座式微量滴定管,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,4,个,常规,,,J-04,0,,,个,,4,个,,
具塞圆底刻度试管,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,20,个,常规,,,J-04,1,,,个,,20,个,,
具塞圆底刻度试管,J4,玻璃仪器,南通诚记化工,,25ml,,,,购置,18,个,常规,,,J-04,1,,,个,,18,个,,
具塞圆底刻度试管,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,11,个,常规,,,J-04,1,,,个,,11,个,,
具塞比色管,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,165,个,常规,,,J-04,1,MYM-200508-MYM-J4-004；MYM-201208-SCL-J4-003；MYM-210525-QJW-J4-002,69,个,,96,个,,
具塞比色管,J4,玻璃仪器,南通诚记化工,,25ml,,,,购置,87,个,常规,,,J-04,1,MYM-201229-SCL-J4-003；MYM-210422-QIW-J4-004；MYM-211020-LJ-J4-003；MYM-230111-CJF-J4-001；MYM-230524-CJF-J4-004,67,个,,20,个,,
具塞比色管,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,108,个,常规,,,J-04,1,MYM-200512-CYX-J4-002;MYM-201229-SCL-J4-002；MYM-210406-QJW-J4-001;MYM-210517-QJW-J4-001;MYM-210525-QJW-J4-001；MYM-210816-QJW-J4-003；MYM-211018-LJ-J4-001,98,个,,10,个,,
具塞比色管,J4,玻璃仪器,南通诚记化工,,100ml,,,,购置,132,个,常规,,,J-04,1,MYM-201229SCL-J4-004;MYM-210420-QJW-J4-002;MYM-210525-QJW-J4-003,48,个,,84,个,,
玻璃培养皿,J4,玻璃仪器,南通诚记化工,,90mm,,,,购置,10,个,常规,,,J-04,2,MYM-210412-QJW-J4-001,10,个,,,个,,
玻璃培养皿,J4,玻璃仪器,南通诚记化工,,120mm,,,,购置,20,个,常规,,,J-04,2,,,个,,20,个,,
烧杯          ,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,10,个,常规,,,J-04,2,,,个,,10,个,,
烧杯          ,J4,玻璃仪器,蜀牛玻璃实验仪器商场,,100ml,,,,购置,9,个,常规,,,J-04,2,MYM-230524-CJF-J4-005,2,个,,7,个,,
烧杯          ,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,25,个,常规,低型13高型6,,J-04,2,MYM-211110-LJ-J4-015;MYM-230524-CJF-J4-006,6,个,,19,个,,
烧杯          ,J4,玻璃仪器,南通诚记化工,,600ml,,,,购置,15,个,常规,,,J-04,2,MYM-211110-LJ-J4-016,4,个,,11,个,,
烧杯            ,J4,玻璃仪器,蜀牛玻璃实验仪器商场,,1000ml,,,,购置,1,个,常规,,,J-04,2,,,个,,1,个,,
烧杯          ,J4,玻璃仪器,南通诚记化工,,2000ml,,,,购置,4,个,常规,,,J-04,2,CYQ-240919-LMI-J4-001,3,个,,1,个,,
烧杯,J4,玻璃仪器,南通诚记化工,,3000ml,,,,购置,2,个,常规,,,J-04,2,,,个,,2,个,,
平底烧瓶,J4,玻璃仪器,南通诚记化工,,100ml,,,,购置,8,个,常规,,,J-04,3,,,个,,8,个,,
平底烧瓶,J4,玻璃仪器,南通诚记化工,,150ml,,,,购置,5,个,常规,,,J-04,3,,,个,,5,个,,
平底烧瓶,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,15,个,常规,,,J-04,3,ZHD-231229-WWY-J4-001,2,个,,13,个,,
平底烧瓶,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,8,个,常规,,,J-04,3,,,个,,8,个,,
平底烧瓶,J4,玻璃仪器,,,,,WWY-231229-ZHD-J4-002,,购置,2,个,常规,,,J-04,3,,,,,2,个,,
平底烧瓶,J4,玻璃仪器,南通诚记化工,,1000ml,,,,购置,6,个,常规,,,J-04,3,,,个,,6,个,,
抽滤瓶,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,3,个,常规,,,J-04,3,,,个,,3,个,,
抽滤瓶,J4,玻璃仪器,南通诚记化工,,1000ml,,,,购置,2,个,常规,,,J-04,3,,,个,,2,个,,
球形分液漏斗,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,8,个,常规,,,J-04,3,MYM-210913-RL-J4-001,8,个,,,个,,
蒸馏烧瓶,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,5,个,常规,,,J-04,4,,,个,,5,个,,
蒸馏烧瓶,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,5,个,常规,,,J-04,4,,,个,,5,个,,
圆底烧瓶,J4,玻璃仪器,南通诚记化工,,100ml,,,,购置,3,个,常规,,,J-04,4,,,个,,3,个,,
圆底烧瓶(长颈）,J4,玻璃仪器,南通诚记化工,,250ml长颈、短颈,,,,购置,7,个,常规,长4短3,,J-04,4,,,个,,7,个,,
圆底烧瓶,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,4,个,常规,,,J-04,4,MYM-210401-QJW-J4-004,1,个,,3,个,,
圆底烧瓶,J4,玻璃仪器,南通诚记化工,,1000ml,,,,购置,5,个,常规,,,J-04,4,,,个,,5,个,,
圆底烧瓶,J4,玻璃仪器,南通诚记化工,,2000ml,,,,购置,3,个,常规,,,J-04,4,,,个,,3,个,,
梨形烧瓶,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,3,个,常规,,,J-04,4,,,个,,3,个,,
梨形烧瓶,J4,玻璃仪器,南通诚记化工,,100ml,,,,购置,3,个,常规,,,J-04,4,,,个,,3,个,,
梨形烧瓶,J4,玻璃仪器,南通诚记化工,,250ml,,,,购置,3,个,常规,,,J-04,4,,,个,,3,个,,
定氮烧瓶(梨形),J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,5,个,常规,,,J-04,4,,,个,,5,个,,
称量瓶（低型）,J4,玻璃仪器,南通诚记化工,,40*25mm,,,,购置,6,个,常规,,,J-02,3,PXQ-250512-YZH-J2-001,2,个,,4,个,,
称量瓶（低型）,J4,玻璃仪器,南通诚记化工,,70*35mm,,,,购置,2,个,常规,,,J-02,3,MYM-201112-KAP-J4-002,2,个,,,个,,
称量瓶（高型）,J4,玻璃仪器,南通诚记化工,,30*60mm,,,,购置,10,个,常规,,,J-02,3,,,个,,10,个,,
称量瓶（高型）,J4,玻璃仪器,南通诚记化工,,35*70mm,,,,购置,10,个,常规,,,J-02,3,,,个,,10,个,,
称量瓶（高型）,J4,玻璃仪器,南通诚记化工,,40*70mm,,,,购置,10,个,常规,,,J-02,3,,,个,,10,个,,
酒精灯,J4,玻璃仪器,,,250mm,,,,购置,9,个,常规,,,J-02,2,,,个,,9,个,,
结晶碗（玻璃蒸发皿）,J4,玻璃仪器,盐城超宇,,,,,,购置,5,只,常规,,,J-02,2,,,只,,5,只,,
结晶杯（石英坩埚）,J4,玻璃仪器,盐城超宇,,,,,,购置,2,只,常规,,,J-02,2,,,只,,2,只,,
棕色样品瓶,J4,玻璃仪器,,,5ml,,,,购置,6,个,常规,,,J-02,2,MYM-200326-SCL-J4-002,6,个,,,个,,
棕色样品瓶,J4,玻璃仪器,,,40ml,,,,购置,2,个,常规,,,J-02,2,MYM-200326-SCL-J4-001,2,个,,,个,,
表面皿,J4,玻璃仪器,南通诚记化工,,120mm,,,,购置,15,个,常规,,,J-02,3,MYM-200702-PDJ-J4-001,1,个,,14,个,,
表面皿,J4,玻璃仪器,南通诚记化工,,150mm,,,,购置,20,个,常规,,,J-02,3,,,个,,20,个,,
砂芯坩埚,J4,玻璃仪器,南通诚记化工,,30ml-1-3#,,,,购置,15,个,常规,,,J-02,3,,,个,,15,个,,
75度蒸馏转接头,J4,玻璃仪器,南通诚记化工,,24/29,,,,购置,3,套,常规,,,J-02,3,,,套,,3,套,,
75度蒸馏转弯头,J4,玻璃仪器,南通诚记化工,,24/29；19/26,,,,购置,2,个,常规,,,J-02,3,,,个,,2,个,,
三口连接管,J4,玻璃仪器,南通诚记化工,,19*4，19/26；24*4，24/29,,,,购置,4,根,常规,各2个,,J-02,3,,,根,,4,根,,
牛角管,J4,玻璃仪器,南通诚记化工,,,,,,购置,4,根,常规,,,J-02,3,,,根,,4,根,,
玻璃三通,J4,玻璃仪器,南通诚记化工,,,,,,购置,2,个,常规,,,J-02,3,,,个,,2,个,,
结晶皿,J4,玻璃仪器,南通诚记化工,,15cm,,,,购置,2,个,常规,,,J-02,3,MYM-22054-MYM-J4-001,2,个,,,个,,
直形滴管,J4,玻璃仪器,南通诚记化工,,90mm,,,,购置,20,根,常规,,,J-02,3,CYQ-240805-LMI-J4-001,10,根,,10,根,,
具螺纹口试管（黑色盖子）,J4,玻璃仪器,南通诚记化工,,16*100mm/16*180mm,,,,购置,20,个,常规,各10个,,J-02,3,,,个,,20,个,,
发酵试管/小倒管,J4,玻璃仪器,南通诚记化工,,小，厚/小，薄,,,,购置,31,根,常规,厚16薄15,,J-02,3,,,根,,31,根,,
发酵试管/小倒管,J4,玻璃仪器,南通诚记化工,,中，厚/中，薄,,,,购置,29,根,常规,厚14薄15,,J-02,3,,,根,,29,根,,
平口试管,J4,玻璃仪器,南通诚记化工,,20*200mm  / 18*180mm,,,,购置,45,个,常规,大15小30,,J-02,3,MYM-200911-SCL--J4-001,30,个,,15,个,,
平口刻度试管,J4,玻璃仪器,,,50ml,,,,购置,10,个,常规,,,J-02,3,,,个,,10,个,,
玻璃比色皿,J4,玻璃仪器,,,10㎜,,,,购置,1,只,常规,,,J-02,3,MYM-200724-SCL-J4-001,1,只,,,只,,
玻璃比色皿,J4,玻璃仪器,,,20㎜,,,,购置,10,只,常规,,,J-02,3,MYM-200522-SHY-J4-003；MYM-211109-LJ-J4-001,3,只,,7,只,,
玻璃比色皿,J4,玻璃仪器,,,30㎜,,,,购置,9,只,常规,,,J-02,3,MYM-200724-SCL-J4-002；MYM-201208-SCL-J4-005；MYM-210303-SCL-J4-001；MYM-210816-J4-002；MYM-220110-WJS-J4-002,6,只,,3,只,,
石英比色皿,J4,玻璃仪器,,,10㎜,,,,购置,1,只,常规,,,J-02,3,,,只,,1,只,,
石英比色皿,J4,玻璃仪器,姜堰科达,,50㎜,,,,购置,1,只,常规,,,J-02,3,,,只,,1,只,,
大包式采样管,J4,玻璃仪器,南通诚记化工,,10ml白色、棕色,,,,购置,8,个,常规,白5棕3,,J-02,4,,,个,,8,个,,
小包式采样管,J4,玻璃仪器,南通诚记化工,,5ml白色，棕色,,,,购置,20,个,常规,白10棕10,,J-02,4,,,个,,20,个,,
U型多孔玻板吸收管,J4,玻璃仪器,南通诚记化工,,10ml白色,,,,购置,3,个,常规,,,J-02,4,,,个,,3,个,,
U型多孔玻板吸收管,J4,玻璃仪器,南通诚记化工,,10ml白色,,WWY-231229-ZHD-J4-003,,购置,1,个,常规,,,J-02,4,,,个,,1,个,,
U型多孔玻板吸收管,J4,玻璃仪器,盐城超宇,,50ml棕,,,,购置,30,个,常规,,,J-02,4,MYM-211123-LJ-J4-001,18,个,,12,个,,
撞击式气体采样器,J4,玻璃仪器,南通诚记化工,,10ml棕色,,,,购置,4,个,常规,,,J-02,4,,,个,,4,个,,
白色小型气泡吸收管（小包）,J4,玻璃仪器,盐城超宇,,5ml/14*2、白色,,,,购置,9,只,常规,,,J-02,4,,,只,,9,只,,
大型气泡吸收管,J4,玻璃仪器,盐城超宇,,10ml白色、棕色,,,,购置,49,只,常规,白1棕48,,J-02,4,ZHD-231229-WWY-J4-002、SYY-250827-ZFY-J4-001,2,只,,47,只,,
棕色大型气泡吸收管,J4,玻璃仪器,盐城超宇,,10ml,,,,购置,1,只,常规,,,J-02,4,,,只,,1,只,,
白色冲击式吸收管,J4,玻璃仪器,盐城超宇,,10ml,,,,购置,3,只,常规,,,J-02,4,,,只,,3,只,,
二氧化硫吸收瓶,J4,玻璃仪器,盐城超宇,,50ml,,,,购置,1,只,常规,,,J-02,4,,,只,,1,只,,
硫化氢吸收管,J4,玻璃仪器,,,,,,,购置,3,只,常规,,,J-02,4,,,只,,3,只,,
微量定氮蒸馏器,J4,玻璃仪器,南通诚记化工,,凯氏６件,,,,购置,2,套,常规,不确定是否完整,,J-02,5,,,套,,2,套,,
凯氏专用球形冷凝管,J4,玻璃仪器,南通诚记化工,,300mm,,,,购置,1,个,常规,凯式氮专用,,J-02,5,,,个,,1,个,,
镉柱还原装置,J4,玻璃仪器,,,2个一套,,,,购置,4,套,常规,1套有破损,,J-02,5,,,套,,4,套,,
索氏萃取器,J4,玻璃仪器,蜀牛玻璃实验仪器商场,,250ml,,,,购置,4,套,常规,,,J-02,5,,,套,,4,套,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,0.1ml,,,,购置,11,根,常规,直的,,J-03,2,,,根,,11,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,0.2ml,,,,购置,4,根,常规,,,J-03,2,,,根,,4,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,0.5ml,,,,购置,8,根,常规,,,J-03,2,MYM-210520-QJW-J4-001,1,根,,7,根,,
刻度移液管,J4,玻璃仪器,姜堰科达,,1ml,,,,购置,4,根,常规,,,J-03,2,MYM-200702-SHY-J4-002,2,根,,2,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,2ml,,,,购置,8,根,常规,,,J-03,2,MYM-211110-LJ-J4-010,2,根,,6,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,5ml,,,,购置,12,根,常规,,,J-03,2,YM-211110-LJ-J4-009,4,根,,8,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,8,根,常规,,,J-03,2,MYM-200702-SHY-J4-003；MYM-211110-LJ-J4-011;MYM-221206-CJF-J4-004,6,根,,2,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,25ml,,,,购置,4,根,常规,,,J-03,2,,,根,,4,根,,
刻度移液管,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,1,根,常规,,,J-03,2,,,根,,1,根,,
玻璃棒,J4,玻璃仪器,南通诚记化工,,长、短,,,,购置,16,个,常规,长9短3,,J-03,2,MYM-211110-LJ-J4-001,4,个,,12,个,,
塑料试管架,J4,玻璃仪器,,,15孔,,,,购置,3,个,常规,,,J-03,2,MYM-201208-KAP-J6-002,1,个,,2,个,,
有机玻璃比色管架,J4,玻璃仪器,,,12孔/50ml，10孔,,,,购置,9,个,常规,分别6和2个,,J-03,2,MYM-210104-SCL-J4-002,1,个,,8,个,,
移液管架,J4,玻璃仪器,蜀牛玻璃实验仪器商场,,18孔,,,,购置,10,个,常规,,,J-03,2,MYM-211118-LJ-J4-001,1,个,,9,个,,
单标移液管,J4,玻璃仪器,南通诚记化工,,1ml,,,,购置,10,根,常规,小胖肚,,J-03,3,MYM-201202-SCL-J4-005；MYM-211110-LJ-J4-007;MYM-221206-CJF-J4-002,7,根,,3,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,2ml,,,,购置,18,根,常规,小胖肚,,J-03,3,MYM-200713-SCL-J4-003；MYM-211110-LJ-J4-005,4,根,,14,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,3ml,,,,购置,21,根,常规,小胖肚,,J-03,3,MYM-211110-LJ-J4-004,2,根,,19,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,5ml,,,,购置,8,根,常规,小胖肚,,J-03,3,MYM-211110-LJ-J4-006,2,根,,6,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,9,根,常规,小胖肚,,J-03,3,,,根,,9,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,15ml,,,,购置,11,根,常规,小胖肚,,J-03,3,,,根,,11,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,20ml,,,,购置,10,根,常规,小胖肚,,J-03,3,MYM-211110-LJ-J4-008,2,根,,8,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,25ml,,,,购置,6,根,常规,小胖肚,,J-03,3,MYM-211110-LJ-J4-003,2,根,,4,根,,
单标移液管,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,10,根,常规,小胖肚,,J-03,3,MYM-211110-LJ-J4-002;MYM-221206-CJF-J4-003,2,根,,8,根,,
量筒,J4,玻璃仪器,南通诚记化工,,10ml,,,,购置,4,个,常规,,,J-03,3,,,个,,4,个,,
量筒,J4,玻璃仪器,南通诚记化工,,25ml,,,,购置,3,个,常规,,,J-03,3,MYM-201202-SCL-J4-002,1,个,,2,个,,
量筒,J4,玻璃仪器,南通诚记化工,,50ml,,,,购置,2,个,常规,,,J-03,3,MYM-201202-SCL-J4-003,1,个,,1,个,,
量筒,J4,玻璃仪器,南通诚记化工,,100ml,,,,购置,5,个,常规,,,J-03,3,MYM-20072-SHY-J4-004;MYM-201202-SCL-J4-004；MYM-211110-LJ-J4-012,3,个,,2,个,,
量筒,J4,玻璃仪器,南通诚记化工,,250ml，200ml,,,,购置,7,个,常规,,,J-03,3,MYM-211110-LJ-J4-013,1,个,,6,个,,
量筒,J4,玻璃仪器,南通诚记化工,,500ml,,,,购置,1,个,常规,,,J-03,3,,,个,,1,个,,
2ml棕色玻璃瓶+实心盖子,J4,玻璃仪器,,,90046+90038,,,,购置,71,个,常规,实际是1.5ml的，没有盖子,,J-07,2,MYM-200927-SCL-J4-004,71,个,,,个,,
微量进样器,J4,玻璃仪器,南通诚记化工,,1ul,,,,购置,8,个,常规,,,J-08,3,,,个,,8,个,,
微量进样器,J4,玻璃仪器,南通诚记化工,,5ul,,,,购置,7,个,常规,,,J-08,3,MYM-230313-CJF-J4-004,1,个,,6,个,,
微量进样器,J4,玻璃仪器,南通诚记化工,,25ul,,,,购置,1,个,常规,,,J-08,3,,,个,,1,个,,
微量进样器,J4,玻璃仪器,南通诚记化工,,50ul,,,,购置,1,个,常规,,,J-08,3,,,个,,1,个,,
微量进样器,J4,玻璃仪器,南通诚记化工,,100ul,,,,购置,3,个,常规,,,J-08,3,,,个,,3,个,,
微量进样器,J4,玻璃仪器,南通诚记化工,,500ul,,,,购置,4,个,常规,,,J-08,3,,,个,,4,个,,
微量进样器,J4,玻璃仪器,,,1000ul,,,,购置,2,个,常规,,,J-08,3,,,个,,2,个,,
土壤比重计,J4,玻璃仪器,衡水斯菲尔,,0-60,,,,购置,1,支,常规,,,J-03,3,,,支,,1,支,,
比重计,J4,玻璃仪器,南通诚记化工,,0.6-0.7,,,,购置,1,个,常规,,,J-03,3,,,个,,1,个,,
